Area,Base Constraint,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
26.61750001,PLAN 04,40915.00001,1,650,1.855295,211,70
8.892,PLAN 04,13645,1,650,0.62088,211,70
8.801,PLAN 04,13540,1,650,0.61451,211,70
8.8465,PLAN 04,13645,1,650,0.616655,211,70
27.4235,PLAN 04,42260,1,650,1.91178,211,70
32.17814961,PLAN 01 Teknik,4904.999937,1,6218,17.37433539,211,540
160.4311199,PLAN 01 Dyrestald,29069.99998,1,5468,86.59391787,211,540
155.28585,PLAN 01,31575,1,4918,83.83707518,211,540
16.8216,PLAN 01 Dyrestald,4170,1,5108,9.0713967,211,540
67.08779988,PLAN 01 Teknik,10304.99998,1,6358,36.22741194,211,540
91.50525,PLAN 06,26490,1,4533,49.07395661,211,540
43.14798,PLAN 03,11660,1,4383,22.6048824,211,540
37.99773,PLAN 03,10410,1,4533,20.42504317,211,540
2.44782,PLAN 03,270,1,4533,1.321276483,211,540
2.44782,PLAN 02,270,1,4533,1.3216608,211,540
71.02011708,PLAN 02,23230.00002,1,4383,36.97846584,211,540
20.05061004,PLAN 03,7000.000009,1,4533,11.64038799,211,540
4.218619994,PLAN 03,2389.999991,1,4383,2.158253548,211,540
136.00797,PLAN 04,38520,1,4533,73.20994997,211,540
33.50447,PLAN 04,9410,1,4533,17.99165486,211,540
73.79909076,PLAN 04,21800.00018,1,3863,37.66179402,211,540
32.49088009,PLAN 05,8690.00002,1,3863,15.7940025,211,540
8.06874,PLAN 05,2050,1,4533,4.356545267,211,540
60.22106,PLAN 03,17890,1,3873,29.4385606,211,540
11.89368115,PLAN 04,3870.2005,1,3863,5.718400688,211,540
91.15657,PLAN 01,17690,1,5153,49.2183642,211,540
33.54603,PLAN 01,7050,1,5153,18.1148562,211,540
83.93555907,PLAN 02,21349.9998,1,4533,45.244086,211,540
69.18642,PLAN 02,16470,1,4133,37.34001763,211,540
4.21287,PLAN 04,3890,1,1083,2.27436,211,540
49.880825,PLAN 02,16055,1,3983,25.91641808,211,540
40.63551,PLAN 02,14010,1,4533,21.8694432,211,540
0.3315,PLAN 07,6900,1,50,0.17901,211,540
77.05069907,PLAN 04,21309.99979,1,4533,41.48562158,211,540
107.35955,PLAN 08,26490,1,4533,57.89464677,211,540
