,FireRating,Area,Structural,Unconnected_Height,Volume,Width
3322,4,0.015228680709070328,0.0,0.1392730686168238,0.08916319438034491,0.8165829145728642
2607,3,0.871700540657387,0.0,0.542713567839196,0.8513591379735349,0.5778894472361809
2453,5,0.6405930759635415,1.0,0.6135833808216339,0.8246324930127371,0.9221105527638191
1732,3,0.7944222385763557,0.0,0.8115577889447236,0.7910099924410726,0.5778894472361809
3317,4,0.7497433700625661,0.0,0.1392730686168238,0.782674796389084,0.8165829145728642
2558,5,0.7328454723407055,0.0,0.31658291457286436,0.2964428579485172,0.06532663316582915
2140,5,0.7240571258642213,0.0,0.9623115577889447,0.7391952412291891,0.7914572864321608
2706,3,0.25830573851340133,0.0,0.2763819095477387,0.23512060830865694,0.22110552763819097
3311,4,0.7183515515037933,0.0,0.10546915451981927,0.7626658109388772,0.8165829145728642
2056,3,0.7003169244255458,0.0,0.8115577889447236,0.707347305577597,0.5778894472361809
117,3,0.6956202800038628,0.0,0.8115577889447236,0.6839957280507645,0.3592964824120603
1736,5,0.9844188980335834,0.0,0.9854032065087341,0.9624870486281812,0.9221105527638191
1758,5,0.29650662845930137,0.0,0.6540201005025126,0.3419892352722461,0.31658291457286436
1643,3,0.4013045661629713,0.0,0.8115577889447236,0.4631488594237901,0.5778894472361809
3964,0,0.2518409968086504,0.0,0.14807687769164132,0.19847300167583787,0.18592964824120603
2460,3,0.3189955969109206,0.0,0.22110552763819097,0.4020737445920125,0.5778894472361809
2730,3,0.48592956872463017,0.0,0.542713567839196,0.5414114117426359,0.8241206030150754
3926,0,0.26894728943389085,0.0,0.1306532663316583,0.1690364170152746,0.12060301507537688
3379,3,0.32272097286331214,1.0,0.05778894472361809,0.4557349439471259,0.8291457286432161
3392,3,0.2243028801714448,1.0,0.0879396984924623,0.37508037364103614,0.8291457286432161
100,3,0.7347288280061415,0.0,0.3693467336683417,0.7424006179739808,0.5778894472361809
2442,2,0.5767949426671355,0.0,0.2562814070351759,0.5527959511629587,0.31658291457286436
3010,2,0.3699943253980443,0.0,0.542713567839196,0.4071897630800857,0.31658291457286436
725,3,0.7587042750695907,0.0,0.9623115577889447,0.7617815412587269,0.5778894472361809
3463,0,0.24639876181081768,0.0,0.542713567839196,0.19933739865210368,0.18592964824120603
3652,2,0.1677373116811811,0.0,0.2763819095477387,0.19612518010656665,0.2512562814070352
1610,5,0.3479179783459947,0.0,0.31658291457286436,0.10321808098990987,0.06532663316582915
3068,2,0.3773681099780439,0.0,0.41959798994974873,0.36113931193096643,0.2512562814070352
1065,5,0.42728123351414266,0.0,0.35175879396984927,0.13247371750388365,0.06532663316582915
3296,4,0.028577970720744597,0.0,0.09741790621733817,0.11994460248197132,0.8165829145728642
2898,2,0.040112996755282605,0.0,0.542713567839196,0.08569706307228328,0.2512562814070352
2662,3,0.8283385255224567,0.0,0.9623115577889447,0.8171596126545896,0.5778894472361809
2448,2,0.7664753504620166,0.0,0.2562814070351759,0.7225702796911048,0.31658291457286436
2112,3,0.25552645506476634,0.0,0.8115577889447236,0.3420682653064583,0.5778894472361809
2886,2,0.3112728840191111,0.0,0.542713567839196,0.30131046566785685,0.2512562814070352
94,5,0.0789398646079453,1.0,0.8115577889447236,0.3517106984728637,0.9396984924623115
3385,3,0.2396164731072063,1.0,0.0879396984924623,0.386284120578125,0.8291457286432161
1766,3,0.3269347749676149,0.0,0.1934673366834171,0.40703517587939697,0.5778894472361809
310,3,0.5161283463336709,0.0,0.8115577889447236,0.5567329178998812,0.5778894472361809
281,5,0.7236801790572287,1.0,0.8115577889447236,0.7970609463971833,0.8542713567839196
1076,3,0.7091360734961075,0.0,0.8115577889447236,0.7183485603631695,0.5778894472361809
2377,3,0.3065382060672533,0.0,0.542713567839196,0.3906268326455298,0.5778894472361809
3632,5,0.18515261551493067,0.0,0.05778894472361809,0.04777604398745089,0.0
108,3,0.7034102968519664,0.0,0.8115577889447236,0.7117364585373577,0.5778894472361809
2003,5,0.27243047089754324,0.0,0.2763819095477387,0.11600295362019232,0.09045226130653267
2750,2,0.5134635001058494,0.0,0.18465461636540914,0.5145423925488006,0.31658291457286436
1652,3,0.4957026099065716,0.0,0.8115577889447236,0.535195683077511,0.5778894472361809
2350,3,0.23115577889447236,0.0,0.2613065326633166,0.32706988398377745,0.5778894472361809
3817,5,0.03619136338898248,0.0,0.007537688442211055,0.06698636900386684,0.2085427135678392
2458,0,0.5130639247340804,0.0,0.2613065326633166,0.49698023143997644,0.29185667614777
2319,2,0.18583652605295403,0.0,0.41959798994974873,0.2462211284909674,0.31658291457286436
1854,3,0.24790971477596221,0.0,0.2613065326633166,0.3351038239497379,0.5778894472361809
3825,0,0.3401471917330646,0.0,0.2663316582914573,0.2065956722635876,0.12060301507537688
3448,5,0.8679191669231571,1.0,0.635678391959799,0.920266139396569,0.9221105527638191
13,5,0.8494619041286369,1.0,0.542713567839196,0.8873812793397426,0.8542713567839196
3455,5,0.07068598498777888,1.0,0.635678391959799,0.3365859852487744,0.9396984924623115
1750,5,0.9418880471519001,1.0,0.8115577889447236,0.9589203203929282,1.0
183,5,0.8971525256886883,1.0,0.6130653266331658,0.9370834716573455,0.9417085427135679
977,5,0.8300010217920655,1.0,0.1012438024071432,0.6435390914586103,0.18592964824120603
